eventID,videoID,timed_url,time,img_file,text_file,notes,code_text,coords
1,2,https://www.youtube.com/watch?t=11599&v=W5XNOmyJr6I,11599,screencapture-localhost-8000-2022-01-24-10_17_50.png,,code: data_exploration; tries just copying in the raw string again.,,675;226;421;130
8,2,https://www.youtube.com/watch?t=635&v=W5XNOmyJr6I,635,screencapture-localhost-8000-2022-01-19-14_47_05.png,,"git: add hotdog image; he hasn't really started yet, this is just a repo setup",,
9,2,https://www.youtube.com/watch?t=1333&v=W5XNOmyJr6I,1333,screencapture-localhost-8000-2022-01-20-11_26_30.png,,"goal: ""random images from imagenet for not food, random images from food101 for food""; This is pretty high level, but he transitions into starting to work on this quickly after this point",,
10,2,https://www.youtube.com/watch?t=1365&v=W5XNOmyJr6I,1365,screencapture-localhost-8000-2022-01-20-11_29_10.png,,"search: ""imagenet data downloader""; he's got this search pre-done and is returning to it. happened before the video started.",,
11,2,https://www.youtube.com/watch?t=1372&v=W5XNOmyJr6I,1372,screencapture-localhost-8000-2022-01-20-11_30_58.png,,"visit: imagenet downloader; ""this is what we want""",,
12,2,https://www.youtube.com/watch?t=1413&v=W5XNOmyJr6I,1413,screencapture-localhost-8000-2022-01-20-11_32_37.png,,"search: imagenet class list; downloader page talks about getting images from different classes. goal is to get not food, classes may play into that (my inference)",,
13,2,https://www.youtube.com/watch?t=1416&v=W5XNOmyJr6I,1416,screencapture-localhost-8000-2022-01-20-11_33_57.png,,visit: imagenet class labels; the goal here is to find out how many of these correspond to food,,
14,2,https://www.youtube.com/watch?t=1416&v=W5XNOmyJr6I,1416,screencapture-localhost-8000-2022-01-20-11_33_57.png,,"goal: ""how many of these are food?""; looking at the class labels",,
15,2,https://www.youtube.com/watch?t=1485&v=W5XNOmyJr6I,1485,screencapture-localhost-8000-2022-01-20-11_38_12.png,,visit: raw imagenet class labels list; intending to use this list to select classes,,
16,2,https://www.youtube.com/watch?t=1485&v=W5XNOmyJr6I,1485,screencapture-localhost-8000-2022-01-20-11_38_12.png,,"goal: ""how about we do some data processing on this?""; he presents a plan of downloading this list, selecting a large set of classes and then removing the food-related ones. He's also done some searching for food related words, perhaps to get a sense of where food might show up in the database - example keywords ""food, fruit, banana, apple""",,
17,2,https://www.youtube.com/watch?t=1551&v=W5XNOmyJr6I,1551,screencapture-localhost-8000-2022-01-20-12_43_00.png,,revisit: imagenet class list; wants to download the class list,,
18,2,https://www.youtube.com/watch?t=1555&v=W5XNOmyJr6I,1555,screencapture-localhost-8000-2022-01-20-12_43_50.png,,visit: imagenet class list download zip; downloading,,
19,2,https://www.youtube.com/watch?t=1696&v=W5XNOmyJr6I,1696,screencapture-localhost-8000-2022-01-20-12_46_44.png,,"git: ""add imagenet classes""; he's doing some via a ""deep learning"" machine that he's remoted into; I think here he's using git to transfer the file from one machine to the other.",,
20,2,https://www.youtube.com/watch?t=1721&v=W5XNOmyJr6I,1721,screencapture-localhost-8000-2022-01-20-12_49_22.png,,"goal: ""we want to write some python code. we want to get all of the classes in here that are not food""",,
21,2,https://www.youtube.com/watch?t=1831&v=W5XNOmyJr6I,1831,screencapture-localhost-8000-2022-01-20-13_03_52.png,,code: data_exploration; added imports,"import pandas as pd
import numpy as np
import matplotlib.pyplot as plt
import csv
",675;226;421;130
22,2,https://www.youtube.com/watch?t=1831&v=W5XNOmyJr6I,1831,screencapture-localhost-8000-2022-01-20-13_03_52.png,,"run: testing imports, they worked",,
23,2,https://www.youtube.com/watch?t=1893&v=W5XNOmyJr6I,1893,screencapture-localhost-8000-2022-01-20-13_08_06.png,,code: data_exploration; read the data from imagenet classes file and append to an array.,"imagenet_classes = []
with open(""imagenet1000_clsidx_to_labels.txt"", “rb"") as f:
   imagenet_classes.append(f.readlines())
",666;263;649;106
24,2,https://www.youtube.com/watch?t=1908&v=W5XNOmyJr6I,1908,screencapture-localhost-8000-2022-01-20-13_10_33.png,,"run: testing reading from the file; seems to work, array is defined",,
25,2,https://www.youtube.com/watch?t=1914&v=W5XNOmyJr6I,1914,screencapture-localhost-8000-2022-01-20-13_12_29.png,,"goal: "" we don't necessarily want that...we want each one as a line""; currently output is structured as an object.",,
26,2,https://www.youtube.com/watch?t=1897&v=W5XNOmyJr6I,1897,screencapture-localhost-8000-2022-01-20-13_29_35.png,,output: listing of imagenet classes; he evaluated imagenet_classes,,
27,2,https://www.youtube.com/watch?t=1901&v=W5XNOmyJr6I,1901,screencapture-localhost-8000-2022-01-20-13_31_01.png,,"code: data_exploration; ""maybe we don't want to read it as bytes""","imagenet_classes = []
with open(""imagenet1000_clsidx_to_labels.txt"", ""r"") as f:
   imagenet_classes.append(f.readlines())

imagenet_classes
",660;263;658;229
29,2,https://www.youtube.com/watch?t=1908&v=W5XNOmyJr6I,1908,screencapture-localhost-8000-2022-01-20-13_34_12.png,,output: now imagenet classes aren't in byte form,,
30,2,https://www.youtube.com/watch?t=1928&v=W5XNOmyJr6I,1928,screencapture-localhost-8000-2022-01-20-13_35_50.png,,code: data_exploration; assign the output directly rather than appending results of readLines.,"with open(""imagenet1000_clsidx_to_labels.txt"", “r"") as f:
   imagenet_classes = f.readlines()

imagenet_classes
",660;293;667;199
31,2,https://www.youtube.com/watch?t=1929&v=W5XNOmyJr6I,1929,screencapture-localhost-8000-2022-01-20-13_36_52.png,,output: listing of imagenet classes,,
32,2,https://www.youtube.com/watch?t=1951&v=W5XNOmyJr6I,1951,screencapture-localhost-8000-2022-01-20-13_37_49.png,,"goal: ""there's a better way to do this""",,
33,2,https://www.youtube.com/watch?t=1951&v=W5XNOmyJr6I,1951,screencapture-localhost-8000-2022-01-20-13_37_49.png,,search: python how to read a dictionary from txt; search is tied to previous goal statement,,
34,2,https://www.youtube.com/watch?t=1957&v=W5XNOmyJr6I,1957,screencapture-localhost-8000-2022-01-20-13_39_12.png,,"visit: how to read a dictionary from a file in Python; ""dictionary from a file""",,
35,2,https://www.youtube.com/watch?t=1976&v=W5XNOmyJr6I,1976,screencapture-localhost-8000-2022-01-20-13_40_16.png,,"visit: literal_eval (method docs); ""is this in the python standard library?""",,
36,2,https://www.youtube.com/watch?t=1982&v=W5XNOmyJr6I,1982,screencapture-localhost-8000-2022-01-20-13_41_04.png,,"revisit: how to read a dictionary from a file in Python; ""ok, we just want read""",,
37,2,https://www.youtube.com/watch?t=1993&v=W5XNOmyJr6I,1993,screencapture-localhost-8000-2022-01-20-13_41_54.png,,revisit: how to read a dictionary from a file in Python; he's copying the literal_eval method call,,
38,2,https://www.youtube.com/watch?t=2009&v=W5XNOmyJr6I,2009,screencapture-localhost-8000-2022-01-20-13_56_38.png,,code: data_exploration; added import of ast and literal_eval method call,"import pandas as pd
import numpy as np
import matplotlib.pyplot as plt
import csv
import ast

with open(""imagenet1000_clsidx_to_labels.txt"", ""r"") as f:
   imagenet_classes = ast.literal_eval(f.read())

imagenet_classes
",531;241;664;416
39,2,https://www.youtube.com/watch?t=2013&v=W5XNOmyJr6I,2013,screencapture-localhost-8000-2022-01-20-13_57_44.png,,"output: ""ok beautiful we've got a.."" listing of the classnames in dictionary form",,
40,2,https://www.youtube.com/watch?t=2090&v=W5XNOmyJr6I,2090,screencapture-localhost-8000-2022-01-20-14_00_08.png,,"goal: ""how do we edit a dictionary?...let's loop through this""",,
41,2,https://www.youtube.com/watch?t=2120&v=W5XNOmyJr6I,2120,screencapture-localhost-8000-2022-01-20-14_01_16.png,,code: data_exploration; looping through class items and looking for descriptors that contain banana.,"for k, v in imagenet_classes.items():
   if v.contains(""banana""):|
      print(k)
",534;398;430;103
42,2,https://www.youtube.com/watch?t=2120&v=W5XNOmyJr6I,2120,screencapture-localhost-8000-2022-01-20-14_01_16.png,,"output: 'str' object has no attribute ""contains""",,
43,2,https://www.youtube.com/watch?t=2120&v=W5XNOmyJr6I,2120,screencapture-localhost-8000-2022-01-20-14_01_16.png,,"output: ""str"" object has no attribute ""contains""",,
44,2,https://www.youtube.com/watch?t=2132&v=W5XNOmyJr6I,2132,screencapture-localhost-8000-2022-01-20-14_05_08.png,,search: python check if string contains string; in response to error about non-existent contains method,,
45,2,https://www.youtube.com/watch?t=2142&v=W5XNOmyJr6I,2142,screencapture-localhost-8000-2022-01-20-14_06_18.png,,"visit: does python have a string ""contains"" substring method?;",,
46,2,https://www.youtube.com/watch?t=2157&v=W5XNOmyJr6I,2157,screencapture-localhost-8000-2022-01-20-15_08_08.png,,"code: data_exploration; changed to if ""banana"" in v","for k, v in imagenet_classes.items():
   if ""banana"" in v:
      print(k)
",549;404;436;97
47,2,https://www.youtube.com/watch?t=2160&v=W5XNOmyJr6I,2160,screencapture-localhost-8000-2022-01-20-15_09_08.png,,output: 954; 954 ok. so banana is in the 954th class.,,
48,2,https://www.youtube.com/watch?t=2169&v=W5XNOmyJr6I,2169,screencapture-localhost-8000-2022-01-20-15_10_12.png,,search: imagenet food classes; I think that he's looking for a list of food words that he can use to filter the list,,
49,2,https://www.youtube.com/watch?t=2183&v=W5XNOmyJr6I,2183,screencapture-localhost-8000-2022-01-20-15_15_15.png,,"visit: food image classification; ""no way"" this is a medium article done by someone who has basically done this same problem",,
50,2,https://www.youtube.com/watch?t=2318&v=W5XNOmyJr6I,2318,screencapture-localhost-8000-2022-01-20-15_18_38.png,,search: python list of common eaten foods; he's looking for a way to get food based keywords,,
51,2,https://www.youtube.com/watch?t=2322&v=W5XNOmyJr6I,2322,screencapture-localhost-8000-2022-01-21-10_01_46.png,,visit: wikipedia list of common eaten foods; top link,,
52,2,https://www.youtube.com/watch?t=2328&v=W5XNOmyJr6I,2328,screencapture-localhost-8000-2022-01-21-10_02_48.png,,"search: python list of commonly eaten foods; ""nope"" on wikipedia page.",,
53,2,https://www.youtube.com/watch?t=2364&v=W5XNOmyJr6I,2364,screencapture-localhost-8000-2022-01-21-10_06_09.png,,"visit: stackoverflow question - list of common foods; ""here we go""",,
54,2,https://www.youtube.com/watch?t=2417&v=W5XNOmyJr6I,2417,screencapture-localhost-8000-2022-01-21-10_07_50.png,,"visit: usda foods list; ""this is beautiful, we're just going to combine a bunch of data here""",,
55,2,https://www.youtube.com/watch?t=2430&v=W5XNOmyJr6I,2430,screencapture-localhost-8000-2022-01-21-10_09_58.png,,visit: usda food data central;,,
56,2,https://www.youtube.com/watch?t=2446&v=W5XNOmyJr6I,2446,screencapture-localhost-8000-2022-01-21-10_10_43.png,,revisit: stackoverflow question - list of common foods;,,
57,2,https://www.youtube.com/watch?t=2446&v=W5XNOmyJr6I,2446,screencapture-localhost-8000-2022-01-21-10_10_43.png,,"goal: ""let's try the nltk first and then we'll come back""",,
58,2,https://www.youtube.com/watch?t=2457&v=W5XNOmyJr6I,2457,screencapture-localhost-8000-2022-01-21-10_25_25.png,,search: wordnet subset downloader; this is based on the words around the nltk example,,
59,2,https://www.youtube.com/watch?t=2505&v=W5XNOmyJr6I,2505,screencapture-localhost-8000-2022-01-21-10_27_03.png,,visit: stack overflow - what does nltk download 'wordnet' accomplish?;,,
60,2,https://www.youtube.com/watch?t=2525&v=W5XNOmyJr6I,2525,screencapture-localhost-8000-2022-01-21-10_28_08.png,,visit: nltk documentation; he's skimmed the stack overflow download explanations,,
61,2,https://www.youtube.com/watch?t=2525&v=W5XNOmyJr6I,2525,screencapture-localhost-8000-2022-01-21-10_28_08.png,,"goal: ""so let's install nltk""",,
62,2,https://www.youtube.com/watch?t=2565&v=W5XNOmyJr6I,2565,screencapture-localhost-8000-2022-01-21-10_29_58.png,,"goal: ""let's try this out. let's install nltk""",,
63,2,https://www.youtube.com/watch?t=2577&v=W5XNOmyJr6I,2577,screencapture-localhost-8000-2022-01-21-10_33_37.png,,"visit: installing nltk; ""what's the recommended...""",,
64,2,https://www.youtube.com/watch?t=2603&v=W5XNOmyJr6I,2603,screencapture-localhost-8000-2022-01-21-10_34_54.png,,"goal: ""so we need to install nltk""; he's perused the page and has highlighted the pip installation instructions",,
