startTime,endTime,type
1893,2009,'code'
2120,2157,'code'
2751,3028,'code'
3291,3373,'code'
3420,3458,'code'
3703,3821,'code'
4273,4355,'code'
4409,4429,'code'
4494,4515,'code'
4569,4606,'code'
5527,5696,'code'
5861,5939,'code'
6699,6702,'code'
6770,6775,'code'
6914,6944,'code'
6947,6959,'code'
6995,6996,'code'
7007,7041,'code'
7072,7072,'code'
7133,7193,'code'
7456,7518,'code'
8351,9278,'code'
9372,9459,'code'
9636,10917,'code'
11142,11661,'code'
11867,11909,'code'
12044,12044,'code'
12325,12424,'code'
13226,13232,'code'
14121,14267,'code'
14365,14395,'code'
14449,14478,'code'
14603,15156,'code'
15182,16424,'code'
16688,16752,'code'
16829,16922,'code'
16963,16988,'code'
17894,18354,'code'
18394,18632,'code'
18666,19137,'code'
19360,19488,'code'
19531,19639,'code'
19733,19735,'code'
19961,19986,'code'
20105,20180,'code'
20257,20324,'code'
21239,21274,'code'
21324,21428,'code'
21553,21690,'code'
21690,21729,'code'
21964,21989,'code'
22003,22016,'code'
22112,22123,'code'
22192,22246,'code'
22673,23735,'code'
24279,24379,'code'
24564,24592,'code'
24650,25739,'code'
26728,26771,'code'
27156,27186,'code'
27231,27324,'code'
27370,27391,'code'
27583,27641,'code'
27757,27769,'code'
28609,28665,'code'
28696,28963,'code'
29128,29704,'code'
29715,30332,'code'
30435,30472,'code'
30585,30612,'code'
30727,30825,'code'
31103,31139,'code'
31171,31174,'code'
31191,31200,'code'
31262,31320,'code'
32066,32131,'code'
32614,32741,'code'
32809,32844,'code'
33188,33205,'code'
33213,33499,'code'
33594,33757,'code'
33851,35060,'code'
35332,35485,'code'
