startTime,endTime,type,filename
345,779,'code',notes.md
1173,1279,'code',fonts.scss
1306,1385,'code',boilerplate.scss
1472,1595,'code',boilerplate.scss
1661,1836,'code',boilerplate.scss
2192,2211,'code',guess.scss
2570,2637,'code',guess.scss
3128,3532,'code',script.js
3601,4357,'code',script.js
4927,5396,'code',script.js
5527,5840,'code',script.js
5962,6336,'code',script.js
6401,6439,'code',guess.scss
6476,7154,'code',script.js
7211,7242,'code',script.js
7280,7464,'code',notes.md
7620,8542,'code',script.js
8577,8597,'code',notes.md
8613,8675,'code',script.js
8710,9969,'code',script.js
9998,10070,'code',guess.scss
10111,10682,'code',script.js
10805,10872,'code',notes.md
11758,11816,'code',animations.scss
12083,12216,'code',script.js
12235,12666,'code',script.js
12759,12777,'code',animations.scss
12786,12806,'code',script.js
12815,12827,'code',animations.scss
12888,12908,'code',animations.scss
12932,12949,'code',script.js
13087,13189,'code',guess.scss
13231,13256,'code',script.js
13452,13488,'code',index.html
13518,13627,'code',script.js
13686,13713,'code',guess.scss
13873,13884,'code',script.js
13884,14880,'code',script.js
14880,15252,'code',script.js
15252,15608,'code',script.js
15630,15684,'code',script.js
15778,15884,'code',script.js
16012,16056,'code',animations.scss
16074,16286,'code',script.js
16440,16549,'code',script.js
16635,16647,'code',animations.scss
16779,17037,'code',script.js
