startTime,endTime,type,filename
536,638,'code', notes.md
3128,7280,'code', notes.md
8577,8710,'code', notes.md
10872,13405,'code', notes.md
0,1126,'code', index.html
5886,13488,'code', index.html
0,1145,'code', boilerplate.scss
1472,1836,'code', boilerplate.scss
1173,1279,'code', fonts.scss
0,2045,'code', _index.scss
0,11693,'code', _index.scss
2570,2637,'code', guess.scss
10726,13189,'code', guess.scss
13686,13713,'code', guess.scss
0,3180,'code', script.js
3601,3936,'code', script.js
3939,4211,'code', script.js
5153,5272,'code', script.js
5352,5396,'code', script.js
5527,5622,'code', script.js
5772,5840,'code', script.js
5962,6054,'code', script.js
6100,6175,'code', script.js
6267,6852,'code', script.js
8428,8488,'code', script.js
8542,8613,'code', script.js
8841,8937,'code', script.js
9007,9162,'code', script.js
9348,9374,'code', script.js
9544,9656,'code', script.js
9678,9704,'code', script.js
9717,9802,'code', script.js
9931,9936,'code', script.js
9948,10209,'code', script.js
10466,10549,'code', script.js
10564,10639,'code', script.js
10682,12083,'code', script.js
12108,12142,'code', script.js
12168,12216,'code', script.js
12619,12641,'code', script.js
12949,13031,'code', script.js
13256,13518,'code', script.js
13576,13627,'code', script.js
14449,14510,'code', script.js
14749,14754,'code', script.js
14828,14845,'code', script.js
14850,14874,'code', script.js
15038,15086,'code', script.js
15299,15307,'code', script.js
15347,15356,'code', script.js
15400,15778,'code', script.js
16074,16183,'code', script.js
16286,16478,'code', script.js
16779,16855,'code', script.js
16866,16904,'code', script.js
17003,17037,'code', script.js
0,11758,'code', animations.scss
12759,16647,'code', animations.scss
