eventID,time,filename
1,0,search: set up venv python;
2,6,visit: Creating a Virtual Environment – Real Python;
5,394,search: trash vs non trash classifier;
6,424,visit: Waste Classifier Machine Learning - Rootstrap;
7,444,research: trash vs non trash classifier;
8,460,search: image classification python;
9,468,search: image classification python pytorch;
10,477,visit: Training a Classifier — PyTorch Tutorials 1.13.0+cu117 documentation;
11,523,search: enter a venv from cmd;
12,524,visit: python - How to activate virtual environment from Windows 10 command prompt - Stack Overflow;
13,557,revisit: Training a Classifier — PyTorch Tutorials 1.13.0+cu117 documentation;
14,589,revisit: python - How to activate virtual environment from Windows 10 command prompt - Stack Overflow;
15,602,visit: Introduction to PyTorch - YouTube Series — PyTorch Tutorials 1.13.0+cu117 documentation;
16,627,visit: Introduction to PyTorch — PyTorch Tutorials 1.13.0+cu117 documentation;
17,694,visit: Introduction to PyTorch - YouTube;
18,762,revisit: Introduction to PyTorch — PyTorch Tutorials 1.13.0+cu117 documentation;
19,763,visit: Quickstart — PyTorch Tutorials 1.13.0+cu117 documentation;
20,798,search: install pytorch;
21,801,visit: Installation — Torch-TensorRT master documentation;
22,828,research: install pytorch;
23,833,visit: PyTorch;
24,834,visit: https://pytorch.org/get-started;
25,835,visit: Start Locally | PyTorch;
28,1033,revisit: Introduction to PyTorch - YouTube;
29,1045,visit: Building Models with PyTorch - YouTube;
30,1099,revisit: Start Locally | PyTorch;
31,1101,revisit: Training a Classifier — PyTorch Tutorials 1.13.0+cu117 documentation;
38,2005,search: trash image dataset;
39,2019,visit: http://tacodataset.org/;
40,2038,visit: GitHub - pedropro/TACO: 🌮 Trash Annotations in Context Dataset Toolkit;
41,2107,search: waste image dataset;
42,2130,visit: Garbage Classification | Kaggle;
43,2139,visit: WasteNet - Recycleye - The world's largest dataset for waste;
44,2181,revisit: Garbage Classification | Kaggle;
45,2226,visit: Kaggle: Your Home for Data Science;
46,2232,revisit: Garbage Classification | Kaggle;
47,2556,search: access and open pil image;
48,2559,visit: Python PIL | Image.open() method - GeeksforGeeks;
49,2654,search: python accessing a directory;
50,2657,visit: Accessing directories and files using python - Stack Overflow;
53,3066,search: relative path python;
54,3067,visit: Relative paths in Python - Stack Overflow;
57,3219,search: how to find if a directory exists in python;
58,3221,visit: How do I check if directory exists in Python? - Stack Overflow;
59,3281,research: how to find if a directory exists in python;
60,3299,search: directing to an existing directory in python;
61,3315,visit: Change current working directory with Python - GeeksforGeeks;
62,3382,search: locate a path to a directory in python;
63,3388,visit: python - How do I get the full path of the current file's directory? - Stack Overflow;
66,3597,search: get the path of a directory python;
67,3604,visit: Python Directory & File Management – A Quick and Easy Tutorial - DataFlair;
72,3829,search: pytorch how to create a dataset;
73,3836,visit: A detailed example of data loaders with PyTorch;
74,3866,research: pytorch how to create a dataset;
75,3868,"visit: Writing Custom Datasets, DataLoaders and Transforms — PyTorch Tutorials 1.13.0+cu117 documentation;"
76,4025,research: pytorch how to create a dataset;
77,4041,visit: Creating Your Own Datasets — pytorch_geometric  documentation;
78,4062,research: pytorch how to create a dataset;
79,4072,visit: How to use Datasets and DataLoader in PyTorch for custom text data | by Wherll | Towards Data Science;
80,4118,research: pytorch how to create a dataset;
81,4129,search: pytorch how to create a custom dataset for image classification;
82,4144,visit: 04. PyTorch Custom Datasets - Zero to Mastery Learn PyTorch for Deep Learning;
87,4831,search: python random integer;
88,4833,visit: Python Random randint() Method;
89,4859,search: how to pick a random pictures from a directory python;
90,4865,visit: discord.py - How do i get a random image from a folder python - Stack Overflow;
91,4921,revisit: 04. PyTorch Custom Datasets - Zero to Mastery Learn PyTorch for Deep Learning;
94,5354,revisit: discord.py - How do i get a random image from a folder python - Stack Overflow;
97,5630,revisit: Accessing directories and files using python - Stack Overflow;
98,5647,search: check if a directory exists python;
99,5648,visit: Python: Check if a File or Directory Exists - GeeksforGeeks;
100,5742,revisit: 04. PyTorch Custom Datasets - Zero to Mastery Learn PyTorch for Deep Learning;
101,5794,search: clean out all files and folders in directory python;
102,5797,visit: python - How to delete the contents of a folder? - Stack Overflow;
103,6265,search: generate a random list of numbers python;
104,6268,visit: Generating random number list in Python - GeeksforGeeks;
105,6378,revisit: python - How to delete the contents of a folder? - Stack Overflow;
106,6380,revisit: Python: Check if a File or Directory Exists - GeeksforGeeks;
107,6386,revisit: discord.py - How do i get a random image from a folder python - Stack Overflow;
108,6398,revisit: Generating random number list in Python - GeeksforGeeks;
111,6954,search: how to use random choice for a list;
112,6978,search: how to use random to select some percentage for a list;
113,6980,visit: How to Randomly Select Elements From a List in Python;
114,7247,search: selecting random elements from list python without repetition;
115,7249,visit: python - Random without repetition? - Stack Overflow;
116,7297,research: selecting random elements from list python without repetition;
117,7299,visit: Randomly select elements from list without repetition in Python - GeeksforGeeks;
118,7367,revisit: How to Randomly Select Elements From a List in Python;
121,7719,revisit: Randomly select elements from list without repetition in Python - GeeksforGeeks;
122,7733,search: flatten array python;
123,7740,visit: python - How do I make a flat list out of a list of lists? - Stack Overflow;
124,7768,revisit: Generating random number list in Python - GeeksforGeeks;
125,7769,revisit: How to Randomly Select Elements From a List in Python;
128,8514,search: grab 80 elements from array python;
129,8527,search: grab 80 percent of elements from array python;
130,8530,visit: python - Percent list slicing - Stack Overflow;
131,8587,research: grab 80 percent of elements from array python;
132,8592,visit: numpy.percentile() in python - GeeksforGeeks;
133,8603,research: grab 80 percent of elements from array python;
134,8616,search: round python;
135,8617,visit: Python round() Function;
136,8629,research: round python;
137,8793,search: find the difference elements between two lists python;
138,8795,visit: Python How to Find the Difference Between Two Lists - codingem.com;
139,8814,research: find the difference elements between two lists python;
140,8817,visit: python - Get difference between two lists - Stack Overflow;
147,9924,search: check if all values in list are unique python;
148,9926,visit: python - Checking if all elements in a list are unique - Stack Overflow;
152,10228,revisit: Randomly select elements from list without repetition in Python - GeeksforGeeks;
153,10268,search: how to random selecting from a list without repetition python;
154,10284,visit: python - How do I create a list of random numbers without duplicates - Stack Overflow;
155,10312,research: how to random selecting from a list without repetition python;
156,10315,visit: Selecting Random Elements from a List Without Repetition - Python Cookbook [Book];
157,10351,revisit: How to Randomly Select Elements From a List in Python;
158,10401,revisit: Selecting Random Elements from a List Without Repetition - Python Cookbook [Book];
159,10403,research: how to random selecting from a list without repetition python;
160,10405,revisit: python - Random without repetition? - Stack Overflow;
161,10437,visit: Python | random.sample() function - GeeksforGeeks;
164,10903,search: how to move images from one folder to another in python;
165,10908,visit: How to Move Files in Python: Single and Multiple File Examples – LearnDataSci;
166,10962,search: shutil move without deleting;
167,10964,visit: python - shutil.move doesn't delete source files - Stack Overflow;
168,10973,research: shutil move without deleting;
169,10976,visit: Python | shutil.move() method - GeeksforGeeks;
170,11006,research: shutil move without deleting;
171,11022,search: how to copy and paste img in python;
172,11051,search: how to move image in python without deleting source files;
173,11058,visit: How to move a file in Python? - Stack Overflow;
174,11141,research: how to move image in python without deleting source files;
175,11147,visit: Copy all files from one directory to another using Python - GeeksforGeeks;
176,11200,search: shutil copy2;
177,11210,visit: How to Copy Files in Python | Towards Data Science;
178,11309,search: how to copy files in python;
179,11310,visit: python - How to copy files? - Stack Overflow;
189,12694,revisit: python - Checking if all elements in a list are unique - Stack Overflow;
190,12696,revisit: python - Get difference between two lists - Stack Overflow;
191,12699,revisit: python - Random without repetition? - Stack Overflow;
192,12707,research: flatten array python;
193,12708,revisit: python - How do I make a flat list out of a list of lists? - Stack Overflow;
196,12979,revisit: 04. PyTorch Custom Datasets - Zero to Mastery Learn PyTorch for Deep Learning;
198,13844,search: how to show fig python;
199,13846,visit: Matplotlib.figure.Figure.show() in Python - GeeksforGeeks;
202,13929,research: how to show fig python;
203,13942,search: how to show fig python but not close right away;
204,13967,search: how to show figure python matplotlib without close right away;
205,13972,visit: python - Is there a way to detach matplotlib plots so that the computation can continue? - Stack Overflow;
206,14023,research: how to show figure python matplotlib without close right away;
207,14031,search: how to avoid plt closing on its own;
208,14033,visit: python - Closing pyplot windows - Stack Overflow;
211,14131,search: fig show closed on its own;
212,14132,visit: python - view and then close the figure automatically in matplotlib? - Stack Overflow;
215,14430,search: windows path strip image name;
216,14435,visit: c - How to remove filename from path in Windows File Filter Driver? - Stack Overflow;
217,14441,research: windows path strip image name;
218,14442,visit: Redirecting to Microsoft.com;
219,14458,research: windows path strip image name;
220,14552,search: how to grab a file name from a pil image path;
221,14553,"visit: python - Extract file name from path, no matter what the os/path format - Stack Overflow;"
223,14704,revisit: 04. PyTorch Custom Datasets - Zero to Mastery Learn PyTorch for Deep Learning;
224,14828,search: torchvision.datasets.ImageFolder;
225,14832,visit: ImageFolder — Torchvision 0.14 documentation;
226,14899,revisit: 04. PyTorch Custom Datasets - Zero to Mastery Learn PyTorch for Deep Learning;
227,15058,revisit: ImageFolder — Torchvision 0.14 documentation;
