eventID,time,filename
1,0,search: set up venv python;
2,6,visit: Creating a Virtual Environment – Real Python;
5,394,search: trash vs non trash classifier;
6,424,visit: Waste Classifier Machine Learning - Rootstrap;
7,460,search: image classification python;
8,468,search: image classification python pytorch;
9,477,visit: Training a Classifier — PyTorch Tutorials 1.13.0+cu117 documentation;
10,523,search: enter a venv from cmd;
11,524,visit: python - How to activate virtual environment from Windows 10 command prompt - Stack Overflow;
12,557,revisit: Training a Classifier — PyTorch Tutorials 1.13.0+cu117 documentation;
13,589,revisit: python - How to activate virtual environment from Windows 10 command prompt - Stack Overflow;
14,602,visit: Introduction to PyTorch - YouTube Series — PyTorch Tutorials 1.13.0+cu117 documentation;
15,627,visit: Introduction to PyTorch — PyTorch Tutorials 1.13.0+cu117 documentation;
16,694,visit: Introduction to PyTorch - YouTube;
17,763,visit: Quickstart — PyTorch Tutorials 1.13.0+cu117 documentation;
18,798,search: install pytorch;
19,801,visit: Installation — Torch-TensorRT v1.1.1 documentation;
20,835,visit: Start Locally | PyTorch;
23,1033,revisit: Introduction to PyTorch - YouTube;
24,1045,visit: Building Models with PyTorch - YouTube;
25,1101,revisit: Training a Classifier — PyTorch Tutorials 1.13.0+cu117 documentation;
32,2005,search: trash image dataset;
33,2019,visit: http://tacodataset.org/;
34,2038,visit: GitHub - pedropro/TACO: 🌮 Trash Annotations in Context Dataset Toolkit;
35,2107,search: waste image dataset;
36,2130,visit: Garbage Classification | Kaggle;
37,2139,visit: WasteNet - Recycleye - The world's largest dataset for waste;
38,2181,revisit: Garbage Classification | Kaggle;
41,2556,search: access and open pil image;
42,2559,visit: Python PIL | Image.open() method - GeeksforGeeks;
43,2654,search: python accessing a directory;
44,2657,visit: Accessing directories and files using python - Stack Overflow;
47,3066,search: relative path python;
48,3067,visit: Relative paths in Python - Stack Overflow;
51,3219,search: how to find if a directory exists in python;
52,3221,visit: How do I check if directory exists in Python? - Stack Overflow;
53,3299,search: directing to an existing directory in python;
54,3315,visit: Change current working directory with Python - GeeksforGeeks;
55,3382,search: locate a path to a directory in python;
56,3388,visit: python - How do I get the full path of the current file's directory? - Stack Overflow;
59,3597,search: get the path of a directory python;
60,3604,visit: Python Directory & File Management - A Quick and Easy Tutorial - DataFlair;
65,3829,search: pytorch how to create a dataset;
66,3836,visit: A detailed example of data loaders with PyTorch;
67,3868,"visit: Writing Custom Datasets, DataLoaders and Transforms — PyTorch Tutorials 1.13.0+cu117 documentation;"
68,4041,visit: Creating Your Own Datasets — pytorch_geometric  documentation;
69,4072,visit: How to use Datasets and DataLoader in PyTorch for custom text data | by Wherll | Towards Data Science;
70,4129,search: pytorch how to create a custom dataset for image classification;
71,4144,visit: 04. PyTorch Custom Datasets - Zero to Mastery Learn PyTorch for Deep Learning;
76,4831,search: python random integer;
77,4833,visit: Python Random randint() Method;
78,4859,search: how to pick a random pictures from a directory python;
79,4865,visit: discord.py - How do i get a random image from a folder python - Stack Overflow;
80,4921,revisit: 04. PyTorch Custom Datasets - Zero to Mastery Learn PyTorch for Deep Learning;
83,5354,revisit: discord.py - How do i get a random image from a folder python - Stack Overflow;
86,5630,revisit: Accessing directories and files using python - Stack Overflow;
87,5647,search: check if a directory exists python;
88,5648,visit: Python: Check if a File or Directory Exists - GeeksforGeeks;
89,5742,revisit: 04. PyTorch Custom Datasets - Zero to Mastery Learn PyTorch for Deep Learning;
90,5794,search: clean out all files and folders in directory python;
91,5797,visit: python - How to delete the contents of a folder? - Stack Overflow;
92,6265,search: generate a random list of numbers python;
93,6268,visit: Generating random number list in Python - GeeksforGeeks;
94,6380,revisit: Python: Check if a File or Directory Exists - GeeksforGeeks;
95,6386,revisit: discord.py - How do i get a random image from a folder python - Stack Overflow;
96,6398,revisit: Generating random number list in Python - GeeksforGeeks;
99,6954,search: how to use random choice for a list;
100,6978,search: how to use random to select some percentage for a list;
101,6980,visit: How to Randomly Select Elements From a List in Python;
102,7247,search: selecting random elements from list python without repetition;
103,7249,visit: python - Random without repetition? - Stack Overflow;
104,7299,visit: Randomly select elements from list without repetition in Python - GeeksforGeeks;
105,7367,revisit: How to Randomly Select Elements From a List in Python;
108,7719,revisit: Randomly select elements from list without repetition in Python - GeeksforGeeks;
109,7733,search: flatten array python;
110,7740,visit: python - How do I make a flat list out of a list of lists? - Stack Overflow;
111,7769,revisit: How to Randomly Select Elements From a List in Python;
114,8514,search: grab 80 elements from array python;
115,8527,search: grab 80 percent of elements from array python;
116,8530,visit: python - Percent list slicing - Stack Overflow;
117,8592,visit: numpy.percentile() in python - GeeksforGeeks;
118,8616,search: round python;
119,8617,visit: Python round() Function;
120,8793,search: find the difference elements between two lists python;
121,8795,visit: Python How to Find the Difference Between Two Lists - codingem.com;
122,8817,visit: python - Get difference between two lists - Stack Overflow;
129,9924,search: check if all values in list are unique python;
130,9926,visit: python - Checking if all elements in a list are unique - Stack Overflow;
134,10228,revisit: Randomly select elements from list without repetition in Python - GeeksforGeeks;
135,10268,search: how to random selecting from a list without repetition python;
136,10284,visit: python - How do I create a list of random numbers without duplicates - Stack Overflow;
137,10315,visit: Selecting Random Elements from a List Without Repetition - Python Cookbook [Book];
138,10351,revisit: How to Randomly Select Elements From a List in Python;
139,10405,revisit: python - Random without repetition? - Stack Overflow;
140,10437,visit: Python | random.sample() function - GeeksforGeeks;
143,10903,search: how to move images from one folder to another in python;
144,10908,visit: How to Move Files in Python: Single and Multiple File Examples – LearnDataSci;
145,10962,search: shutil move without deleting;
146,10964,visit: python - shutil.move doesn't delete source files - Stack Overflow;
147,10976,visit: Python | shutil.move() method - GeeksforGeeks;
148,11022,search: how to copy and paste img in python;
149,11051,search: how to move image in python without deleting source files;
150,11058,visit: How to move a file in Python? - Stack Overflow;
151,11147,visit: Copy all files from one directory to another using Python - GeeksforGeeks;
152,11200,search: shutil copy2;
153,11210,visit: How to Copy Files in Python | Towards Data Science;
154,11309,search: how to copy files in python;
155,11310,visit: python - How to copy files - Stack Overflow;
165,12696,revisit: python - Get difference between two lists - Stack Overflow;
166,12699,revisit: python - Random without repetition? - Stack Overflow;
167,12708,revisit: python - How do I make a flat list out of a list of lists? - Stack Overflow;
170,12979,revisit: 04. PyTorch Custom Datasets - Zero to Mastery Learn PyTorch for Deep Learning;
172,13844,search: how to show fig python;
173,13846,visit: Matplotlib.figure.Figure.show() in Python - GeeksforGeeks;
176,13942,search: how to show fig python but not close right away;
177,13967,search: how to show figure python matplotlib without close right away;
178,13972,visit: python - Is there a way to detach matplotlib plots so that the computation can continue? - Stack Overflow;
179,14031,search: how to avoid plt closing on its own;
180,14033,visit: python - Closing pyplot windows - Stack Overflow;
183,14131,search: fig show closed on its own;
184,14132,visit: python - view and then close the figure automatically in matplotlib? - Stack Overflow;
187,14430,search: windows path strip image name;
188,14435,visit: c - How to remove filename from path in Windows File Filter Driver? - Stack Overflow;
190,14552,search: how to grab a file name from a pil image path;
191,14553,"visit: python - Extract file name from path, no matter what the os/path format - Stack Overflow;"
193,14704,revisit: 04. PyTorch Custom Datasets - Zero to Mastery Learn PyTorch for Deep Learning;
194,14828,search: torchvision.datasets.ImageFolder;
195,14832,visit: ImageFolder — Torchvision main documentation;
196,14899,revisit: 04. PyTorch Custom Datasets - Zero to Mastery Learn PyTorch for Deep Learning;
197,15058,revisit: ImageFolder — Torchvision main documentation;
200,15220,revisit: 04. PyTorch Custom Datasets - Zero to Mastery Learn PyTorch for Deep Learning;
207,15759,search: make directory within directory python;
208,15762,visit: Create a directory in Python - GeeksforGeeks;
209,15830,search: FileNotFoundError: [WinError 3] The system cannot find the path specified;
210,15831,visit: python 3.x - FileNotFoundError: [WinError 3] The system cannot find the path specified: - Stack Overflow;
217,16210,revisit: 04. PyTorch Custom Datasets - Zero to Mastery Learn PyTorch for Deep Learning;
224,17779,search: import python file as module;
225,17783,visit: Python 3: Import Another Python File as a Module — Computer Science Atlas;
230,18574,search: common pytorch cnn model;
231,18578,visit: Convolutional Neural Network Pytorch | CNN Using Pytorch;
232,18788,visit: PyTorch CNN: The Basics and a Quick Tutorial;
233,18849,revisit: Training a Classifier — PyTorch Tutorials 1.13.0+cu117 documentation;
234,19110,search: general cnn architecture for image classification pytorch;
235,19115,visit: Implementation of a CNN based Image Classifier using PyTorch - GeeksforGeeks;
236,20826,search: how to visualize batch size and epochs;
237,20843,"visit: Epochs, Iterations and Batch Size | Deep Learning Basics - YouTube;"
240,21447,revisit: Start Locally | PyTorch;
241,21469,revisit: Implementation of a CNN based Image Classifier using PyTorch - GeeksforGeeks;
242,21554,revisit: Training a Classifier — PyTorch Tutorials 1.13.0+cu117 documentation;
243,21783,search: difference between adam and sgd;
244,21798,visit: Adam vs. SGD: Closing the generalization gap on image classification;
245,22014,revisit: Training a Classifier — PyTorch Tutorials 1.13.0+cu117 documentation;
