eventID,time,filename
1,0,search: python gui projects for beginners;
2,15,visit: Top 20 Opensource Python Tkinter Projects  - Dunebook;
3,131,visit: GitHub - parthpanchal3399/Quiz-Application-With-dB-Connectivity-on-Python-Tkinter-: This Project has been developed my me & my friend Veer for our Second Year Python Project. It uses Tkinter Module for GUI and MySQLDb for database connectivity.;
4,191,search: make a quiz app with python gui;
5,197,visit: How to Build a GUI Quiz App Using Tkinter and Open Trivia DB;
6,367,search: fractal generator python;
7,380,visit: Make Fractal Art With Python! - YouTube;
8,630,search: python fractal;
9,641,visit: Draw the Mandelbrot Set in Python – Real Python;
10,674,revisit: Make Fractal Art With Python! - YouTube;
11,723,revisit: Draw the Mandelbrot Set in Python – Real Python;
12,736,search: turtle python;
13,747,visit: turtle â Turtle graphics — Python 3.10.5 documentation;
14,758,revisit: Make Fractal Art With Python! - YouTube;
15,1520,revisit: turtle â Turtle graphics — Python 3.10.5 documentation;
16,1532,search: cool fractal equations;
17,1542,visit: Fractals - Fractal Dimension;
18,1825,revisit: Make Fractal Art With Python! - YouTube;
19,3216,revisit: Fractals - Fractal Dimension;
20,3231,search: Sierpinsky Triangle python turtle;
21,3236,visit: https://pythonguides.com/python-turtle-triangle/;
22,3337,re-search: cool fractal equations;
23,3340,visit: https://fractalfoundation.org/OFC/OFC-5-5.html;
24,3386,search: mandelbrot set;
25,3388,visit: Mandelbrot set - Wikipedia;
26,3480,revisit: https://fractalfoundation.org/OFC/OFC-5-5.html;
27,3963,revisit: https://pythonguides.com/python-turtle-triangle/;
28,4028,search: mandelbrot set python turtle;
29,4043,visit: mandelbrot with turtles and Python - DEV Community;
30,4068,visit: Coding Games and Programming Challenges to Code Better;
31,4186,visit: The Mandelbrot Set - Numberphile - YouTube;
32,4748,visit: What's so special about the Mandelbrot Set? - Numberphile - YouTube;
33,4776,revisit: Coding Games and Programming Challenges to Code Better;
34,4824,revisit: mandelbrot with turtles and Python - DEV Community;
35,4827,visit: mandelbrot with turtle and Python3 · GitHub;
36,5173,revisit: Coding Games and Programming Challenges to Code Better;
37,5177,revisit: mandelbrot with turtle and Python3 · GitHub;
38,5178,revisit: Mandelbrot set - Wikipedia;
39,5186,revisit: What's so special about the Mandelbrot Set? - Numberphile - YouTube;
40,5234,search: opencv anime face;
41,5249,visit: The Face Detector for Anime/Manga using OpenCV;
42,5297,search: opencv mask detection;
43,5310,visit: https://www.mygreatlearning.com/blog/real-time-face-detection/;
44,15421,visit: Google Drive: Sign-in;
45,15427,revisit: https://www.mygreatlearning.com/blog/real-time-face-detection/;
46,15489,re-search: opencv mask detection;
47,15502,"visit: COVID-19: Face Mask Detector with OpenCV, Keras/TensorFlow, and Deep Learning - PyImageSearch;"
48,15571,re-search: opencv mask detection;
49,15575,visit: GitHub - chandrikadeb7/Face-Mask-Detection: Face Mask Detection system based on computer vision and deep learning using OpenCV and Tensorflow/Keras;
50,15612,re-search: opencv mask detection;
51,15622,visit: Learn OpenCV by implementing a face mask detector. | by Brendan Ferris | Towards Data Science;
52,15662,visit: GitHub - brenfrrs/face_mask_detection: A face mask detector that can be used to train custom Haar Cascades.;
53,15668,visit: face_mask_detection/maskdetector.py at master · brenfrrs/face_mask_detection · GitHub;
54,15678,revisit: GitHub - brenfrrs/face_mask_detection: A face mask detector that can be used to train custom Haar Cascades.;
55,15679,visit: face_mask_detection/models at master · brenfrrs/face_mask_detection · GitHub;
56,15683,revisit: GitHub - brenfrrs/face_mask_detection: A face mask detector that can be used to train custom Haar Cascades.;
57,15697,revisit: Learn OpenCV by implementing a face mask detector. | by Brendan Ferris | Towards Data Science;
58,15881,revisit: GitHub - brenfrrs/face_mask_detection: A face mask detector that can be used to train custom Haar Cascades.;
59,15889,revisit: face_mask_detection/maskdetector.py at master · brenfrrs/face_mask_detection · GitHub;
60,15924,search: trained mask detection model;
61,15942,visit: Real Time Face Mask Detection with Tensorflow and Python | Custom Object Detection w/ MobileNet SSD - YouTube;
62,16344,visit: GitHub - nicknochnack/RealTimeObjectDetection;
63,16349,visit: RealTimeObjectDetection/Tutorial.ipynb at main · nicknochnack/RealTimeObjectDetection · GitHub;
64,16375,revisit: Real Time Face Mask Detection with Tensorflow and Python | Custom Object Detection w/ MobileNet SSD - YouTube;
65,16396,revisit: RealTimeObjectDetection/Tutorial.ipynb at main · nicknochnack/RealTimeObjectDetection · GitHub;
66,16484,visit: GitHub - tensorflow/models: Models and examples built with TensorFlow;
67,16503,revisit: Real Time Face Mask Detection with Tensorflow and Python | Custom Object Detection w/ MobileNet SSD - YouTube;
68,16508,visit: models/tf2_detection_zoo.md at master · tensorflow/models · GitHub;
69,16524,revisit: Real Time Face Mask Detection with Tensorflow and Python | Custom Object Detection w/ MobileNet SSD - YouTube;
70,16605,revisit: GitHub - nicknochnack/RealTimeObjectDetection;
71,16607,visit: RealTimeObjectDetection/Tensorflow at main · nicknochnack/RealTimeObjectDetection · GitHub;
72,16609,revisit: GitHub - nicknochnack/RealTimeObjectDetection;
73,16709,revisit: RealTimeObjectDetection/Tutorial.ipynb at main · nicknochnack/RealTimeObjectDetection · GitHub;
74,16834,revisit: Real Time Face Mask Detection with Tensorflow and Python | Custom Object Detection w/ MobileNet SSD - YouTube;
75,16851,visit: Installation — TensorFlow 2 Object Detection API tutorial  documentation;
76,16908,revisit: Real Time Face Mask Detection with Tensorflow and Python | Custom Object Detection w/ MobileNet SSD - YouTube;
77,16999,search: ModuleNotFoundError: No module named 'object_detection';
78,17003,visit: python - ModuleNotFoundError: No module named 'object_detection' - Stack Overflow;
79,17190,search: AttributeError: module 'tensorflow' has no attribute 'contrib';
80,17193,visit: Module 'tensorflow' has no attribute 'contrib' - Stack Overflow;
81,17270,revisit: Real Time Face Mask Detection with Tensorflow and Python | Custom Object Detection w/ MobileNet SSD - YouTube;
82,17585,search: slim  tf.contrib.slim AttributeError: module 'tensorflow' has no attribute 'contrib';
83,17590,visit: AttributeError: module tensorflow has no attribute contrib · Issue #7767 · tensorflow/models · GitHub;
84,17708,re-search: slim  tf.contrib.slim AttributeError: module 'tensorflow' has no attribute 'contrib';
85,17719,"visit: python 3.x - How to fix error :"" AttributeError: module 'tensorflow' has no attribute 'contrib' "" on Windows - Stack Overflow;"
86,17731,re-search: slim  tf.contrib.slim AttributeError: module 'tensorflow' has no attribute 'contrib';
87,17737,visit: [FIXED] Module 'tensorflow' has no attribute 'contrib' ~ PythonFixing;
88,17756,visit: Automatically rewrite TF 1.x and compat.v1 API symbols  |  TensorFlow Core;
89,17955,revisit: Module 'tensorflow' has no attribute 'contrib' - Stack Overflow;
90,18180,search: raise KeyError(key) from None KeyError: 'COLAB_TPU_ADDR';
91,18184,visit: deep learning - Google Colab KeyError: 'COLAB_TPU_ADDR' - Stack Overflow;
92,18202,revisit: Automatically rewrite TF 1.x and compat.v1 API symbols  |  TensorFlow Core;
93,18232,search: object_detection.builders tensorflow has no attribute contrib;
94,18235,visit: Object Detection API with TF2 AtributeError: module 'tensorflow' has no attribute 'contrib' from object_detection.builders import model_builder · Issue #8941 · tensorflow/models · GitHub;
95,18346,revisit: Installation — TensorFlow 2 Object Detection API tutorial  documentation;
