name,rating,user_ratings_total
Walmart Supercenter,3.8,3561.0
Sam's Club,4.3,877.0
St. Louis Bread Co.,4.0,579.0
Karen Ann's Supplies,4.7,88.0
Dunkin',3.2,352.0
Carvel Express,,
Walmart Bakery,,
Sam's Club Bakery,5.0,1.0
Walmart Supercenter,3.8,3561.0
Sam's Club,4.3,877.0
Dierbergs Markets - Market at Des Peres,4.5,1183.0
Great Harvest Bread Co. Kirkwood,4.7,213.0
Dunkin',3.2,352.0
The Daily Bread Bakery & Cafe,4.5,484.0
Smallcakes: A Cupcakery,4.2,102.0
Strange Donuts,4.2,282.0
Nathaniel Reid Bakery,4.8,584.0
Dierbergs Bakery,4.5,2.0
The Summit All Seasons Market at Kirkwood Farmers Market,4.7,418.0
Bello's Bakery & Pastries,4.6,175.0
Britt's Bakehouse: A Gluten-Free Bakery,4.9,159.0
Hot Box Cookies,2.9,38.0
Alibi Cookies,5.0,1.0
The Pioneer Bakery Cafe,4.6,246.0
Walmart Bakery,,
The Rebel Spoon,5.0,2.0
Sam's Club Bakery,5.0,1.0
Dierbergs Markets - Market at Des Peres,4.5,1183.0
Breadsmith,4.8,90.0
Dunkin',3.5,272.0
The Daily Bread Bakery & Cafe,4.5,484.0
Dierbergs Markets - Warson Woods,4.5,574.0
St. Louis Bread Co.,3.9,462.0
Fresh Thyme Market,4.6,886.0
Nathaniel Reid Bakery,4.8,584.0
Dierbergs Bakery,4.5,2.0
Bello's Bakery & Pastries,4.6,175.0
The Rebel Spoon,5.0,2.0
Dierbergs Bakery,,
St. Louis Bread Co.,4.2,768.0
Einstein Bros Bagels,4.0,2.0
Dierbergs Markets - West Oak,4.2,150.0
Kohn's Kosher Meat and Deli Restaurant,4.6,333.0
St. Louis Kolache,4.5,518.0
"The Caramel House, Saint Louis, Missouri",4.7,58.0
Dierbergs Bakery,4.0,1.0
Cookies & Cupcake By Design,4.9,228.0
Gooey Louie Gooey Butter Cakes,4.2,152.0
Dunkin',3.6,456.0
Baskin-Robbins,3.2,82.0
Strange Donuts,3.9,121.0
St. Louis Bread Co.,4.0,807.0
St. Louis Kolache,4.5,518.0
The Foundry Bakery,4.7,406.0
Tony’s Donuts & Cafe,4.4,50.0
Destination Desserts,4.9,17.0
Bimbo Bakeries-Sara Lee USA,4.2,6.0
La Bonne Bouchee Wholesale Bakery,,
Walmart Supercenter,3.6,9155.0
The Sweet Spot Cafe,4.7,1334.0
Baskin-Robbins,2.6,114.0
Dunkin',3.7,392.0
St. Louis Bread Co.,3.9,721.0
Walmart Bakery,,
Destined Indulgence,4.7,78.0
"Matthew 7.12, LLC MamaDeans Kitchen",5.0,9.0
Karen Ann's Supplies,4.7,88.0
St. Louis Bread Co.,4.0,554.0
Fresh Thyme Market,4.5,1441.0
Cold Stone Creamery,4.2,311.0
Pretzetera,4.6,39.0
Pretzel Pretzel,4.4,124.0
Walmart Supercenter,3.8,3561.0
Sam's Club,4.3,877.0
St. Louis Bread Co.,4.0,298.0
Great Harvest Bread Co. Kirkwood,4.7,213.0
Dunkin',3.2,352.0
Breadsmith,4.8,90.0
Strange Donuts,4.2,282.0
Smallcakes: A Cupcakery,4.2,102.0
St. Louis Bread Co.,3.9,462.0
The Clover and the Bee,4.6,614.0
The Summit All Seasons Market at Kirkwood Farmers Market,4.7,418.0
Sam's Club Bakery,5.0,1.0
Hot Box Cookies,2.9,38.0
Alibi Cookies,5.0,1.0
The Pioneer Bakery Cafe,4.6,246.0
Britt's Bakehouse: A Gluten-Free Bakery,4.9,159.0
Bagel Union,4.4,140.0
Walmart Bakery,,
Le Macaron French Pastries,4.5,129.0
The Rebel Spoon,5.0,2.0
St. Louis Bread Co.,4.0,298.0
Kolache Factory,4.6,689.0
Dunkin',3.5,272.0
Breadsmith,4.8,90.0
St. Louis Bread Co.,3.7,735.0
Dierbergs Markets - Warson Woods,4.5,574.0
Nothing Bundt Cakes,4.7,144.0
The Clover and the Bee,4.6,614.0
Dierbergs Bakery,,
Buffalo Bakery,,
