name,rating,user_ratings_total
LongHorn Steakhouse,4.2,1923.0
Buffalo Wild Wings,4.0,1035.0
Maggie O'Brien's Sunset Hills,4.2,738.0
Chili's Grill & Bar,4.1,1210.0
Helen Fitzgerald's Irish Grill & Pub,4.3,3027.0
The Brothers Beer & Bourbon House - Sunset Hills,4.7,152.0
Walnut Grill - Sunset Hills,3.9,966.0
Van's Tavern,4.7,50.0
Sappington Lounge,4.4,100.0
Bar Louie - Kirkwood,4.5,2468.0
Billy G's Kirkwood,4.5,2803.0
Buffalo Wild Wings,4.0,1035.0
Mike Duffy's Pub & Grill Kirkwood,4.3,791.0
Chili's Grill & Bar,4.1,1210.0
PJ's Tavern,4.5,494.0
The Geyer Inn,4.5,108.0
Three Kings Public House,4.4,1368.0
QDOBA Mexican Eats,3.9,284.0
Kirkwood Ice & Fuel Co,4.3,384.0
612 Kitchen & Cocktails,4.3,312.0
Bar 5,,
Whisker Station Cat Cafe and Lounge,4.8,130.0
Van's Tavern,4.7,50.0
Circle 7 Ranch,4.5,1429.0
Fleming’s Prime Steakhouse & Wine Bar,4.6,996.0
Three Kings Public House,4.4,1368.0
Mariposa,4.7,30.0
Vangel's Restaurant & Bar,4.6,78.0
Circle 7 Ranch,4.5,1429.0
Provinces,4.4,113.0
Fleming’s Prime Steakhouse & Wine Bar,4.6,996.0
Lester's,4.4,999.0
Sportsmans Park Restaurant & Bar,4.5,478.0
Mariposa,4.7,30.0
Provinces,4.4,113.0
Olivette Lanes,4.5,1173.0
California Pizza Kitchen at Creve Coeur,4.1,722.0
The Brothers Beer & Bourbon House Creve Coeur,4.6,26.0
Rhonda's,3.7,49.0
By-Ron Entertainment,4.5,4.0
Suwallers Bar & Grill,4.7,980.0
Stl On The Rocks Bar & Grill,4.5,196.0
Syberg's Dorsett,4.4,4298.0
Drunken Fish - Westport Plaza,4.1,1108.0
Hooters,3.7,1788.0
India Palace,4.0,1482.0
Trainwreck Saloon Westport,4.2,1773.0
Backstreet Jazz & Blues Club,4.4,51.0
QDOBA Mexican Eats,3.9,546.0
Extend Bar - Extend Nutrition,,
O'Fallon Brewery,4.2,493.0
Westport Social,4.5,2954.0
Millwoods Sports Bar and Grill in Maryland Heights,4.1,14.0
Nuts Bar & Grill,4.5,214.0
SHEA'S NAIL BAR,4.4,271.0
VFW 3994,,
La Tejana Taqueria,4.5,962.0
Suwallers Bar & Grill,4.7,980.0
Pirate's Cove,4.4,50.0
By-Ron Entertainment,4.5,4.0
Hotshots Sports Bar & Grill,4.0,1102.0
Foley's Fun and Drink,4.4,83.0
Applebee's Grill + Bar,3.8,1388.0
