name,rating,user_ratings_total
St. Louis Bread Co.,4.0,579.0
Dunkin',3.2,352.0
Starbucks,4.2,485.0
Starbucks,4.3,361.0
Circle K,3.1,16.0
Circle K,2.5,39.0
Tidal Wave Wash Center,4.0,54.0
Starbucks,4.3,86.0
Sam's Club Cafe,,
On The Run,4.1,13.0
Kaldi's Coffee,4.5,804.0
Great Harvest Bread Co. Kirkwood,4.7,213.0
Dunkin',3.2,352.0
The Daily Bread Bakery & Cafe,4.5,484.0
Strange Donuts,4.2,282.0
Starbucks,4.2,260.0
On The Run,3.5,13.0
Starbucks,3.7,75.0
Starbucks,4.2,485.0
McDonald's,3.2,996.0
Cornucopia,4.8,75.0
Teleo Coffee,4.8,247.0
Gelato Di Riso - Kirkwood,4.8,82.0
PokeDoke,4.2,82.0
Whisker Station Cat Cafe and Lounge,4.8,130.0
Starbucks,4.3,86.0
Circle K,2.5,39.0
Sam's Club Cafe,,
Starbucks,4.2,460.0
Dunkin',3.5,272.0
The Daily Bread Bakery & Cafe,4.5,484.0
St. Louis Bread Co.,3.9,462.0
On The Run,3.5,13.0
Starbucks,3.7,75.0
Mariposa,4.7,30.0
Starbucks,4.2,460.0
Mariposa,4.7,30.0
Covenant Cafe,5.0,5.0
St. Louis Bread Co.,4.2,768.0
Starbucks,4.1,947.0
Einstein Bros Bagels,4.0,2.0
St. Louis Kolache,4.5,518.0
On The Run,2.7,20.0
McDonald's,3.7,1151.0
McDonald's,3.5,1196.0
Bayer Crop Science K Cafe,4.2,37.0
ShareSweet,4.3,184.0
Circle K,3.5,35.0
Kahve Coffee,,
Coffee and deli shop,5.0,1.0
Dunkin',3.6,456.0
Scooter's Coffee,4.6,115.0
Starbucks,4.8,5.0
Starbucks,4.3,538.0
McDonald's,3.3,1011.0
St. Louis Bread Co.,4.0,807.0
Starbucks,4.3,604.0
Circle K,3.5,51.0
St. Louis Kolache,4.5,518.0
The Foundry Bakery,4.7,406.0
Tomoorona,,
Tony’s Donuts & Cafe,4.4,50.0
Elite Cuisine Centerpoint,5.0,1.0
STL Office,,
Higher Groundz Coffee & Tea,5.0,168.0
Circle K,2.7,21.0
The Sweet Spot Cafe,4.7,1334.0
Circle K,3.5,52.0
Dunkin',3.7,392.0
McDonald's,3.3,2339.0
St. Louis Bread Co.,3.9,721.0
Starbucks,4.2,871.0
Starbucks,4.0,290.0
St. Louis Bread Co.,4.0,554.0
Circle K,3.2,23.0
Starbucks,4.3,361.0
Starbucks,4.4,677.0
Holy Grounds Cafe,,
Circle K,2.8,17.0
Cafe,,
Fireside Cafe,,
Coffee Culture/Cookie Hustle,4.7,143.0
Affton Diner,4.1,542.0
Kaldi's Coffee,4.5,804.0
St. Louis Bread Co.,4.0,298.0
Great Harvest Bread Co. Kirkwood,4.7,213.0
