name,rating,user_ratings_total
Fortel's Pizza Den,4.3,923.0
Syberg's Gravois,4.5,1817.0
The Gyro Company,4.8,1009.0
Subway,3.6,342.0
The Pasta House Co.,4.3,1223.0
Circle K,3.5,36.0
Dairy Queen,4.1,711.0
Weber's 8713 Grill & Tap,4.4,501.0
Breakfast and Burgers,4.5,1615.0
Las Fuentes Mexican Restaurant,4.3,1237.0
Jimmy John's,3.7,227.0
A Taste of China,4.2,238.0
St Louis Pizza & Wings,3.5,212.0
Domino's Pizza,3.7,378.0
Pizza Hut,3.9,268.0
Bommaritos Pizzeria,4.6,195.0
McDonald's,3.0,1530.0
QuikTrip,4.5,44.0
Arber Cafe,4.9,97.0
Sushi Hana,4.8,385.0
(Herbalife Cafe) Fired-Up Nutrition,4.4,37.0
Sharpshooter's Pit and Grill,4.7,454.0
Rancher's Roast Beef Sandwitches,,
Tacos Wey & Grill,4.5,284.0
Smoothie King,3.8,36.0
China Garden,3.2,61.0
Sedara Sweets & Ice Cream,4.8,329.0
St. Louis Pizza & Wings Affton,4.3,99.0
Mike's Italian Beef,4.1,304.0
Randy James Inc.,5.0,2.0
Lorenzo's tacos & burritos,3.0,2.0
La colombianita food truck,5.0,8.0
9 Mile Garden,4.6,972.0
The Clubhouse Bar & Grill,4.4,391.0
Imo's Pizza,4.3,290.0
Bar Roma,4.8,39.0
Ambrosia Restaurant & Bar,4.3,83.0
Popeyes Louisiana Kitchen,3.3,1364.0
China Wok,4.2,349.0
Jack in the Box,3.0,1287.0
Smoke N Bones BBQ,4.7,255.0
Cafe Ganadara,4.8,51.0
Taco Bell,3.0,1424.0
Cyrano's Cafe,4.5,898.0
The Post Sports Bar & Grill - Maplewood,4.4,1164.0
Boogaloo,4.3,1139.0
Big Sky Cafe,4.6,521.0
Subway,3.4,56.0
Weber's Front Row,4.2,593.0
Imo's Pizza,4.4,295.0
Aya Sofia Restaurant,4.4,589.0
McDonald's,3.2,753.0
Taco Bell,2.6,795.0
Joy Luck Chinese Buffet,3.9,2055.0
Pizza Hut,3.5,316.0
Starbucks,4.5,237.0
Starbucks,4.3,448.0
Popeyes Louisiana Kitchen,3.2,1301.0
The Piccadilly at Manhattan,4.6,813.0
Imo's Pizza,4.1,354.0
The Crow's Nest,4.6,1150.0
Racanelli's New York Pizzeria,4.1,324.0
Subway,3.8,121.0
El Maguey,4.4,811.0
Subway,2.1,30.0
WOW Café,3.7,11.0
KFC,3.4,734.0
Raising Cane's Chicken Fingers,4.4,1321.0
Porter's Fried Chicken,4.4,1090.0
Circle K,3.5,39.0
St. Louis Bread Co.,4.0,1227.0
Boardwalk Waffles & Ice Cream,4.7,720.0
Webster Garden Vietnamese & Chinese Restaurant,4.2,189.0
Dvin Restaurant,3.4,29.0
Einstein Bros. Bagels,4.1,232.0
McAlister's Deli,4.1,668.0
McDonald's,3.1,1136.0
White Castle,3.7,1646.0
Arby's,3.8,838.0
Le Grand's Market and Catering,4.9,889.0
QuikTrip,3.7,62.0
Boardwalk Cafe,4.5,510.0
Tapped Social House,4.5,493.0
Schlafly Bottleworks,4.4,980.0
Tiffany's Original Diner,4.5,675.0
Pizza World,4.6,281.0
Dairy Queen Grill & Chill,3.8,633.0
Lion's Choice,4.0,642.0
Dunkin',3.6,9.0
Cowbron Mexican Restaurant,4.5,295.0
Balkan Treat Box,4.9,976.0
Frisco Barroom,4.4,806.0
Cravings Restaurant,4.4,18.0
Chiang Mai,4.4,173.0
MeYou,4.9,107.0
Cup Of Sno Deer Creek Concessions,4.5,12.0
Deer Creek Bar & Grill,4.6,135.0
Hwy 61 Roadhouse,4.6,820.0
Guerrilla Street Food,4.5,90.0
Golden Oak Pancake House - St. Louis,4.2,218.0
Chilanguita Mexican Kitchen,4.2,106.0
Yummi Tummi,4.6,827.0
Marletto's Marketplace,3.9,10.0
Seamus McDaniel's,4.5,1849.0
Olympia Kebob House and Taverna,4.4,1753.0
Southwest Diner,4.7,1833.0
Basso,4.4,873.0
Boogaloo,4.3,1139.0
Mike Duffy's Pub & Grill Richmond Heights,4.3,516.0
The Post Sports Bar & Grill - Maplewood,4.4,1164.0
Michael's Bar & Grill,4.6,1979.0
Subway,4.0,285.0
Imo's Pizza,4.2,2139.0
Subway,3.2,152.0
Acero,4.8,476.0
The Pat Connolly Tavern,4.5,833.0
King & I Thai Cuisine,4.2,954.0
Imo's Pizza,4.1,354.0
Par Lounge,4.0,176.0
Nick's Pub,4.3,1108.0
Failoni's Restaurant,4.7,585.0
Subway,3.8,184.0
St. Louis Bread Co.,3.7,1293.0
McDonald's,2.7,2253.0
Ibby's,3.8,50.0
Chef's Express At Schnucks,4.2,5.0
Steak 'n Shake,3.4,3521.0
Pizza Hut,3.5,316.0
Subway,3.5,85.0
Courtesy Diner,4.3,2275.0
Pointers Pizza,4.2,397.0
The Crow's Nest,4.6,1150.0
Pan D'Olive,4.6,618.0
QDOBA Mexican Eats,4.0,650.0
Seedz Café,4.7,604.0
Louie,4.8,521.0
Flavor 360,4.8,26.0
Cham Bakery,4.1,74.0
Tamm Avenue Bar,4.6,584.0
El Potro Restaurant,4.5,240.0
Panorama Restaurant,4.4,91.0
Felix's Pizza Pub,4.5,1295.0
Tapped Social House,4.5,493.0
Schlafly Bottleworks,4.4,980.0
Ruthie's Bar & Grill,4.3,16.0
Taco Bell,3.5,1250.0
Forest Park Golf Course,4.3,476.0
Carl's Deli,4.7,633.0
Colombo's Cafe & Tavern,4.4,131.0
Einstein Bros. Bagels,4.1,222.0
Circle K,3.3,103.0
Boardwalk Waffles & Ice Cream,4.7,720.0
OR Juice & Smoothie(OR JUICE AND SMOOTHIE),4.6,101.0
Domino's Pizza,,
QuikTrip,4.0,90.0
Circle K,3.4,22.0
China Wok Express,3.4,116.0
Panda Express,3.7,1073.0
Chipotle Mexican Grill,3.9,1035.0
Dunkin',3.5,498.0
Fozzie's Sandwich Emporium,4.4,979.0
Hi-Pointe Drive-In,4.5,4680.0
Dou Dou Cafe,4.6,104.0
Cafe Napoli,4.5,840.0
Chipotle Mexican Grill,3.4,498.0
Blueberry Hill,4.3,3123.0
Fitz's Delmar,4.5,5174.0
Tony's,4.4,453.0
Winslow's Table,4.4,945.0
City Coffee & Creperie,4.6,1100.0
Barcelona Tapas Restaurant,4.2,624.0
Subway,3.9,98.0
Subway,3.2,71.0
Wasabi Sushi Bar Clayton,4.0,306.0
Frida's and Bonito Bar,4.4,557.0
Crushed Red- Clayton,4.3,754.0
Dewey's Pizza,4.7,1108.0
Pastaria,4.4,1378.0
House Of Wong,4.0,224.0
The Crossing,4.7,391.0
Imo's Pizza,4.0,406.0
Domino's Pizza,3.5,256.0
Half & Half,4.3,1092.0
Papa Johns Pizza,3.6,279.0
Domino's Pizza,3.5,368.0
Almonds Restaurant,4.4,92.0
Starbucks,4.1,513.0
Blue Elephant Royal Thai Cuisine,4.1,220.0
Oceano Bistro,4.5,858.0
La Pizza,4.7,632.0
Mi Ranchito,4.6,3183.0
Starbucks,4.3,383.0
Ranoush,4.3,929.0
The Lobby Lounge,4.7,29.0
Plaza Grill Restaurant,4.4,136.0
5 Star Burgers,4.6,1161.0
Imo's Pizza,4.0,281.0
McDonald's,3.6,1083.0
Seoul Taco,4.5,1892.0
Circle K,1.9,26.0
Taco Buddha,4.7,711.0
Elmo's Love Lounge,4.1,877.0
Starbucks,4.2,524.0
Cantina Laredo Clayton,4.1,681.0
801 Chophouse,4.6,1072.0
Potbelly,4.3,242.0
Miami Grill,4.3,975.0
Louie's Wine Dive & Clayton Kitchen,4.5,557.0
801 Fish,4.5,560.0
Which Wich Superior Sandwiches,4.3,174.0
The Capital Grille,4.7,1108.0
Popeyes Louisiana Kitchen,2.9,1183.0
El Maguey Mexican Restaurant,3.5,409.0
Crazy Bowls & Wraps - Now Offering Breakfast!!,4.4,259.0
White Castle,3.8,1382.0
Smokehouse BBQ,4.2,296.0
Jack in the Box,3.3,694.0
COLLEEN'S,4.5,431.0
Hon's Wok III,3.8,269.0
C.J. Mugg's - Clayton,4.2,789.0
China King,4.1,216.0
Blue Ocean Restaurant,4.4,1009.0
U-City Grill,4.5,460.0
Einstein Bros. Bagels,3.1,37.0
Subway,3.9,150.0
Oriental Chop Suey,4.2,544.0
Subway,4.3,17.0
Provincial House Dining Hall,3.0,29.0
WOW Café,3.3,6.0
Lee's Famous Receipe Chicken,4.0,677.0
Wingstop,3.5,497.0
Saint Louis Kitchen (St Louis Kitchen on Natural Bridge),3.8,341.0
McDonald's,3.1,1244.0
Domino's Pizza,2.8,434.0
Penn Station East Coast Subs,3.9,470.0
Year of the Dragon,4.3,362.0
Church's Texas Chicken,3.3,1013.0
Mrs. Sarah's Kitchen Carryout and Catering,4.0,25.0
Snacc Shacc,,
Moon’s Treats,5.0,1.0
Pizza Hut Express,3.6,7.0
Rudii Bee's Snack Shop,4.5,22.0
Rudii Bee's Snack Shop,5.0,2.0
Quick Shop Market,4.7,32.0
Imo's Pizza,3.6,373.0
St.Louis Fish & Chicken Grill -NORTH OAKS PLAZA,4.1,243.0
Motown Pit Stop,4.1,53.0
Chop Suey Inn,4.0,69.0
After Hours Bar and Grill,4.3,73.0
GLOBAL MART,4.7,48.0
Dinner@Londas,4.5,13.0
Burger King,3.2,1132.0
Little Caesars Pizza,3.8,744.0
Onesto Pizza & Trattoria,4.6,588.0
Subway,3.6,342.0
Starbucks,4.0,517.0
Pizza Hut,3.3,425.0
The Gyro Company,4.8,1009.0
Monte Bello Pizzeria,4.5,575.0
Syberg's Gravois,4.5,1817.0
The Haven,4.6,745.0
St Louis Pizza & Wings,3.5,212.0
China Garden on Gravois,4.3,197.0
Chimichanga's Mexican Restaurant,4.4,1447.0
Papa Johns Pizza,3.3,435.0
Apollonia Mediterranean Greek Restaurant,4.5,818.0
The Stellar Hog,4.7,706.0
Arber Cafe,4.9,97.0
The River Des Peres Yacht Club Deli,4.5,303.0
Kabul Express STL,4.9,281.0
Dairy Queen,4.1,711.0
Mr. X Pizza,4.4,299.0
McDonald's,3.1,2392.0
Cecil Whittaker's Pizzeria,4.5,599.0
Friendly's Sports Bar - South County,4.1,180.0
Bo Fung Chinese Kitchen,4.1,501.0
Pepper's Bar & Grill,4.4,711.0
China King,4.0,314.0
Elicia's Pizza,3.8,155.0
QuikTrip,3.9,51.0
McDonald's,3.0,1530.0
Cafe Nova,4.6,808.0
Pizzeria Tivoli,4.5,364.0
El Catrin,4.6,376.0
Under The Sun Sno Cones Shack,4.6,51.0
hatch'd STL,4.7,430.0
Nonna's,4.9,17.0
China Wok,4.2,349.0
Chicken Seven,4.5,269.0
Jovick Brothers Burgers,4.6,25.0
Eni's Pizzeria,4.7,81.0
STL Brewhogs,5.0,1.0
DB Cooper's Safe House,4.8,836.0
Grand Wok Chinese Kitchen,4.0,275.0
Taco Bell,3.0,1424.0
Stacked STL,4.7,3259.0
Jack in the Box,3.0,1098.0
Mix Grill & Wings Halal,4.5,136.0
Wine Down Cafe (St. Louis),4.8,137.0
Doggie Mac's,,
Royal Kebab Persian Cuisine,4.4,285.0
Merendero Las Catrachitas,4.6,164.0
Smoking Barrels BBQ,4.3,599.0
Jack in the Box,3.0,1287.0
Casablanca Lounge,4.8,4.0
Krajina Restaurant & Bar,4.8,69.0
The Off Track Saloon,4.6,427.0
Hummel's Pub,4.6,94.0
El gran taco,5.0,1.0
The Mack (Bar & Grill),4.5,581.0
Cunetto House of Pasta,4.6,1659.0
Farmhaus Restaurant,4.7,348.0
Uncle Bill's Pancakes,4.3,4278.0
Trattoria Marcella,4.7,906.0
Chris' Pancake & Dining,4.5,3221.0
LoRusso's Cucina,4.7,457.0
Aya Sofia Restaurant,4.4,589.0
Russell's on Macklind,4.7,1274.0
Salvage Yard Bar and Grill,4.5,424.0
Subway,3.8,217.0
Starbucks,4.3,448.0
Pizza Hut,4.1,387.0
Ari's Restaurant & Bar,4.3,774.0
Noodles and Company,4.2,596.0
Pueblo Solis,4.3,575.0
Penn Station East Coast Subs,4.1,708.0
Onesto Pizza & Trattoria,4.6,588.0
Dairy Queen Grill & Chill,4.2,895.0
Cecil Whittaker's,4.2,153.0
Bomber O'Brien's Sports Bar & Grill,4.3,457.0
Joey B's on the Hill,4.4,2204.0
Pizza-A-Go-Go,4.7,492.0
Imo's Pizza,4.0,228.0
QuikTrip,3.2,61.0
Knead Bakehouse + Provisions,4.7,306.0
Firehouse Subs Hampton Village,3.9,388.0
IHOP,3.8,2059.0
Pietro's,4.7,1447.0
On The Run,3.4,39.0
Le Grand's Market and Catering,4.9,889.0
St. Louis Bread Co.,4.0,1227.0
St. Louis Pizza & Wings,4.3,668.0
Vinnie's Italian Beef & Gyros,4.7,493.0
Old St Louis Chop Suey,4.0,438.0
Adam's Smokehouse,4.8,860.0
Circle K,3.5,39.0
Subway,3.8,121.0
Long John Silver's,3.8,958.0
Dado's Cafe,4.4,570.0
JJ Twig's Pizza & Pub,4.5,520.0
Salt + Smoke,4.5,1869.0
Amigo Joe's Mexican Restaurant and Cantina,4.2,1444.0
Biggie's Restaurant,4.5,1072.0
SOHA Bar and Grill,4.4,735.0
QDOBA Mexican Eats,3.9,648.0
Domino's Pizza,3.1,410.0
McDonald's,2.7,1506.0
Starbucks,4.2,562.0
Jimmy John's,3.6,205.0
Burger King,3.5,839.0
The Piccadilly at Manhattan,4.6,813.0
Steak 'n Shake,3.4,1406.0
El Paisano Mexican Restaurant,4.2,617.0
Arby's,3.8,838.0
Elicia's Pizza,4.2,234.0
Lion's Choice,4.0,642.0
Lily's Mexican Restaurant,4.6,307.0
McDonald's,3.3,1787.0
White Castle,3.7,1498.0
Zia's on The Hill,4.6,3203.0
Seamus McDaniel's,4.5,1849.0
Charlie Gitto's On the Hill,4.7,2316.0
Rigazzi's,4.2,2080.0
Anthonino's Taverna,4.6,2962.0
Drunken Fish - Central West End,4.0,1227.0
Mama’s On The Hill,4.5,3139.0
O'Connell's Pub,4.5,1535.0
Boathouse at Forest Park,4.4,2742.0
Nick's Pub,4.3,1108.0
Everest Cafe & Bar,4.6,752.0
Gioia's Deli,4.8,2100.0
Imo's Pizza,4.2,2139.0
Subway,3.7,183.0
Rasoi,4.1,811.0
Favazza's on the Hill,4.5,2588.0
Gian-Tony's Ristorante,4.6,677.0
Guido's Pizzeria & Tapas,4.5,1977.0
Subway,4.0,285.0
Bartolino's Osteria,4.4,843.0
Kampai Sushi Bar,4.3,502.0
Dominic's,4.5,329.0
The Gramophone,4.7,2716.0
Starbucks,4.3,452.0
Lorenzo's Trattoria,4.5,673.0
Bar Italia,4.3,453.0
Sanctuaria,4.1,574.0
The Tenderloin Room,4.5,294.0
Jimmy John's,3.4,188.0
The Pat Connolly Tavern,4.5,833.0
The Highlands Golf & Tennis,4.4,217.0
HandleBar,4.5,792.0
McDonald's,2.7,2253.0
Pickles Deli,4.5,358.0
West End Wok,4.3,405.0
Brasserie by Niche,4.6,1112.0
Applebee's Grill + Bar,3.8,1943.0
Steak 'n Shake,3.4,3521.0
Chase Club,4.3,359.0
Brennan's,4.5,480.0
Imo's Pizza,3.8,734.0
Jimmy John's,3.1,126.0
Courtesy Diner,4.3,2275.0
2Schae Eats (at Mack's!),4.6,318.0
The Pasta House Catering Co.,4.8,16.0
ShiSha Restaurant & Lounge,3.9,475.0
Milo's Tavern,4.6,781.0
Adriana's on the Hill,4.8,1070.0
Modern Brewery & The Kings Oak,4.6,206.0
Mac's Local Eats,4.6,1838.0
Subway,3.6,374.0
Taco Bell,3.5,1250.0
Circle K,3.3,103.0
Urban Chestnut Grove Brewery and Bierhall,4.5,1019.0
QuikTrip,3.7,33.0
Charlie's Market & Deli on the Hill,4.8,63.0
Aspen Spas: BBQ Grills & Smokers,5.0,1.0
Tamm Avenue Bar,4.6,584.0
Grace Meat + Three,4.4,1624.0
Sauce on the Side,4.7,1656.0
Blueberry Hill,4.3,3123.0
Fitz's Delmar,4.5,5174.0
Kaldi's Coffee on Skinker,4.5,854.0
Mission Taco Joint - Delmar Loop,4.3,2332.0
Ranoush,4.3,929.0
Starbucks,4.1,513.0
Gokul Indian Restaurant,4.0,708.0
Nobu's,4.5,275.0
Imo's Pizza,4.0,406.0
Mi Ranchito,4.6,3183.0
Gyro Grill,4.5,324.0
El Maguey Mexican Restaurant,3.5,409.0
Domino's Pizza,3.5,368.0
Three Kings Public House,4.5,1672.0
Seoul Taco,4.5,1892.0
2Schae Eats (at Mack's!),4.6,318.0
Snarf's Sandwiches Skinker,4.3,402.0
Which Wich Superior Sandwiches,4.3,174.0
Blue Ocean Restaurant,4.4,1009.0
Ocean Grill,4.2,222.0
Eclipse Restaurant,3.7,151.0
Omars Food Shop,4.9,68.0
Fried Rice Kitchen,4.3,299.0
Fork & Stix,4.4,498.0
Thai Country Cafe,4.3,385.0
Taco Bell,3.5,1013.0
Al-Tarboush Deli,4.7,169.0
Lee's Famous Recipe Chicken,3.9,707.0
Ben & Jerry’s,3.9,271.0
Smokehouse BBQ,4.2,296.0
Bada Bing Pizza & Wings,4.5,205.0
Jack in the Box,3.3,694.0
Legacy Bar & Grill,4.5,438.0
Hon's Wok III,3.8,269.0
Mom's Soul Food Kitchen & Catering,3.8,1051.0
Corner 17,4.6,2094.0
U-City Grill,4.5,460.0
St Louis Fish & Chicken &Grill,3.9,375.0
Merhaba Restaurant,4.4,117.0
Pumpkins,,
Ten 04 Snack Shop,,
Greenwood Restaurant,4.6,16.0
Rich Friends Kitchen,5.0,10.0
Binions,,
Nudo House Delmar,4.6,483.0
Prime 55 Restaurant & Lounge,4.0,440.0
Amigo Sole,4.6,18.0
Vails Brothers Shrimp Chicken & Fish,4.2,172.0
Yan Wu House Chop Suey,3.7,145.0
K-Bop STL,4.4,201.0
Paris Bánh Mì- St. Louis,4.4,18.0
AAA Fish House,4.3,639.0
The Baked Bear,4.5,615.0
Herban Eatery,4.8,46.0
Gyro House,4.6,204.0
Magic Mini Golf,5.0,2.0
Kingside Express,4.4,54.0
"International Tap House, Delmar",4.5,102.0
Krab Kingz Seafood,4.5,1087.0
Taste of India,4.3,379.0
Subway,3.9,150.0
Oriental Chop Suey,4.2,544.0
White Castle,3.7,2401.0
McDonald's,3.1,1244.0
Wingstop,3.5,497.0
Lee's Famous Receipe Chicken,4.0,677.0
Circle K,2.3,23.0
Mr Barbq,4.6,7.0
St Louis Fish & Chicken,4.0,697.0
Domino's Pizza,2.8,434.0
Penn Station East Coast Subs,3.9,470.0
C&K Barbecue Restaurant,3.8,1319.0
Church's Texas Chicken,3.3,1013.0
Imo's Pizza,3.6,373.0
Yet Bun Chop Suey,4.4,432.0
B&I Eatery,4.1,61.0
Yang Cheng Chop Suey,4.3,56.0
Fish House,4.4,60.0
Year of the Dragon,4.3,362.0
Chop Suey Inn,4.0,69.0
Trap Pizza,4.0,4.0
Motown Pit Stop,4.1,53.0
St.Louis Fish & Chicken Grill -NORTH OAKS PLAZA,4.1,243.0
Daiqs Bar & Grill,4.8,70.0
Vibezz Kitchen & Hookah Lounge,,
Debbie's Delights,4.0,64.0
The BBQ Shack,3.8,220.0
Honey's,5.0,5.0
Quick Shop,3.9,114.0
Miami Grill,4.2,280.0
Intimate creations catering,5.0,1.0
Ari's Ice Cream Parlor & Cafe,4.7,359.0
Moon’s Treats,5.0,1.0
Sweet's place inc.,4.0,2.0
Shark & Deli,4.4,368.0
JJ Munchies Snack Shop,5.0,4.0
Big Jigga’s BBQ,5.0,1.0
DaView BBQ,3.6,8.0
GLOBAL MART,4.7,48.0
