name,rating,user_ratings_total
Texas Roadhouse,4.3,3567.0
Chipotle Mexican Grill,3.2,1256.0
LongHorn Steakhouse,4.2,1923.0
Buffalo Wild Wings,4.0,1035.0
Rich & Charlie's Crestwood,4.4,1134.0
Denny's,4.0,1629.0
Maggie O'Brien's Sunset Hills,4.2,738.0
Five Guys,4.3,1117.0
Jimmy John's,2.8,182.0
St. Louis Bread Co.,4.0,579.0
Dunkin',3.2,352.0
Chili's Grill & Bar,4.1,1210.0
Sonic Drive-In,3.8,970.0
Mellow Mushroom St. Louis,4.4,2869.0
Chick-fil-A,4.6,1888.0
Helen Fitzgerald's Irish Grill & Pub,4.3,3027.0
Starbucks,4.2,485.0
Raising Cane's Chicken Fingers,4.3,984.0
Imo's Pizza,4.2,272.0
Blues Fired Pizza,4.7,441.0
Bandana's Bar-B-Q Sunset Hills,4.4,1071.0
The Barn,4.5,968.0
Tokyo Sushi,4.5,493.0
China King,3.9,133.0
Sesame,4.2,750.0
Steak 'n Shake,3.3,1429.0
Crazy Bowls & Wraps - Curbside Pickup Available!,4.3,242.0
Starbucks,4.3,361.0
Culver’s,4.4,2161.0
White Castle,4.1,830.0
Penn Station East Coast Subs,4.2,285.0
El Agave Mexican Restaurant,4.3,622.0
Lion's Choice,4.2,513.0
Burger King,3.4,554.0
San Jose Mexican Restaurant,4.5,1135.0
Circle K,3.1,16.0
Yogurtland Kirkwood,4.5,4.0
Panda Express,3.7,327.0
Kirkwood Commons,4.3,4835.0
Circle K,2.5,39.0
Trattoria Toscana,4.5,541.0
The Brothers Beer & Bourbon House - Sunset Hills,4.7,152.0
"Lean Kitchen Co - Sunset Hills, MO",,
Plant Craft Kitchen,4.7,65.0
Carvel Express,,
Northern Lights Pizza,,
Smoothie King,4.5,22.0
Subway,3.0,128.0
Walnut Grill - Sunset Hills,3.9,966.0
The Meltdown,3.4,5.0
Wakey Wakey Breakfast Place,3.9,16.0
Twisted Tree Steakhouse,4.6,2234.0
St. Louis Kolache,4.8,28.0
Piccadilly Circus Pizza,4.0,1.0
McDonald’s,2.2,97.0
Jersey Mike's Subs,4.5,15.0
Storming Crab - Kirkwood,4.3,634.0
It's Just Wings,2.5,16.0
Taco Bell,3.2,165.0
Sam's Club Cafe,,
Citizen Kane's Steak House,4.7,665.0
Texas Roadhouse,4.3,3567.0
Bar Louie - Kirkwood,4.5,2468.0
Billy G's Kirkwood,4.5,2803.0
Amigos Cantina,4.3,793.0
Subway,4.0,102.0
Imo's Pizza,4.3,340.0
Chipotle Mexican Grill,3.2,1256.0
One 19 North Tapas Wine Bar,4.5,375.0
Dewey's Pizza,4.7,1227.0
Buffalo Wild Wings,4.0,1035.0
Mike Duffy's Pub & Grill Kirkwood,4.3,791.0
Great Harvest Bread Co. Kirkwood,4.7,213.0
First Watch,4.5,886.0
Domino's Pizza,3.3,156.0
Pizza Hut,3.6,112.0
Dunkin',3.2,352.0
Peppe's Apt 2,4.8,315.0
Sonic Drive-In,3.8,970.0
Five Guys,4.3,1117.0
Chili's Grill & Bar,4.1,1210.0
The Daily Bread Bakery & Cafe,4.5,484.0
Kirkwood Deli and Convenience,4.4,117.0
Racanelli’s New York Pizzeria,4.0,370.0
Smoothie King,3.7,100.0
Sapore Italian Cafe,4.5,162.0
Andy's Frozen Custard,4.6,1120.0
PJ's Tavern,4.5,494.0
MOD Pizza,4.5,750.0
Jimmy John's,3.6,121.0
